Dataset,Model,|BatchSize,Lr,N_past,Hidden_size,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TestLoss,Train_days,Num_frozen,Type
ROBOD,LSTM,256,0.05,10,32,999999999,6,0.824217,0.3941,0.702039,0.6477,0.437239472,0.611427013,0.359770303,1,1,Transfer
ROBOD,LSTM,256,0.05,10,32,1111,11,0.835252,0.3445,0.781184,0.5206,0.444743182,0.732201303,0.342950343,2,1,Transfer
ROBOD,LSTM,256,0.05,10,32,22,15,0.830181,0.355,0.779621,0.5212,0.453113553,0.729350981,0.328054933,2,1,Transfer
ROBOD,LSTM,256,0.05,10,32,333,15,0.830798,0.352,0.778059,0.5217,0.448589308,0.726748077,0.317557165,2,1,Transfer
ROBOD,LSTM,256,0.05,10,32,4444,13,0.831483,0.3533,0.783528,0.5227,0.450530623,0.737600229,0.340669411,2,1,Transfer
ROBOD,LSTM,256,0.05,10,32,5555,13,0.831689,0.3522,0.783528,0.5202,0.450083939,0.737600229,0.337205158,2,1,Transfer
ROBOD,LSTM,256,0.05,10,32,66666,12,0.835458,0.3441,0.779621,0.5238,0.445203828,0.729653451,0.342110806,2,1,Transfer
ROBOD,LSTM,256,0.05,10,32,77777,13,0.831826,0.351,0.783528,0.5201,0.448392462,0.737600229,0.336234467,2,1,Transfer
ROBOD,LSTM,256,0.05,10,32,888888,12,0.83347,0.3479,0.782746,0.5211,0.446991192,0.736394199,0.337154152,2,1,Transfer
ROBOD,LSTM,256,0.05,10,32,999999999,12,0.833196,0.3479,0.782746,0.5234,0.446947021,0.736394199,0.335864837,2,1,Transfer
ROBOD,LSTM,256,0.05,10,32,1111,17,0.82411,0.3586,0.82287,0.4438,0.445260132,0.777123572,0.317448049,3,1,Transfer
ROBOD,LSTM,256,0.05,10,32,22,16,0.826946,0.3536,0.822312,0.4439,0.440480933,0.77650404,0.32647673,3,1,Transfer
ROBOD,LSTM,256,0.05,10,32,333,23,0.823242,0.3633,0.82566,0.4474,0.450068728,0.781301214,0.315635888,3,1,Transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.822591,0.3632,0.820638,0.4461,0.448193993,0.770911791,0.310441245,3,1,Transfer
ROBOD,LSTM,256,0.05,10,32,5555,21,0.823459,0.3632,0.824544,0.445,0.450033686,0.779577932,0.319247394,3,1,Transfer
ROBOD,LSTM,256,0.05,10,32,66666,16,0.823821,0.3574,0.823986,0.4465,0.443240025,0.779046892,0.329545169,3,1,Transfer
ROBOD,LSTM,256,0.05,10,32,77777,19,0.823387,0.3618,0.823986,0.4471,0.448365524,0.77872366,0.309527765,3,1,Transfer
ROBOD,LSTM,256,0.05,10,32,888888,14,0.827157,0.3519,0.825433,0.4472,0.441121254,0.783683827,0.328862076,3,1,Transfer
ROBOD,LSTM,256,0.05,10,32,999999999,17,0.823025,0.3633,0.82566,0.4472,0.449506996,0.781301214,0.316781838,3,1,Transfer
ROBOD,LSTM,256,0.05,10,32,1111,21,0.824561,0.367,0.858915,0.3656,0.413433954,0.830005065,0.332830114,4,1,Transfer
ROBOD,LSTM,256,0.05,10,32,22,24,0.80217,0.3946,0.861374,0.363,0.42084146,0.838732648,0.309115554,4,1,Transfer
ROBOD,LSTM,256,0.05,10,32,333,16,0.82396,0.3689,0.8597,0.3624,0.413573304,0.831490196,0.338715489,4,1,Transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.830617,0.3582,0.857799,0.3682,0.411905147,0.826431844,0.338251353,4,1,Transfer
ROBOD,LSTM,256,0.05,10,32,5555,18,0.818203,0.3778,0.86249,0.3615,0.418096064,0.838209296,0.328788061,4,1,Transfer
ROBOD,LSTM,256,0.05,10,32,66666,18,0.826093,0.364,0.858357,0.3657,0.412212571,0.829748036,0.332065573,4,1,Transfer
ROBOD,LSTM,256,0.05,10,32,77777,25,0.813938,0.3788,0.857799,0.3658,0.415987204,0.830035351,0.316022346,4,1,Transfer
