Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TrainLoss,Train_days,Num_frozen,Type
ECO,LSTM,512,0.05,31,32,333,5,0.079145,0.7431,0.108176,0.726,0,0,0.67823676,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,1111,1,0.565851,0.6925,0.891824,0.6644,0.633559802,0.89314874,0.691547505,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,77777,1,0.803868,0.6587,0.891824,0.6475,0.821966668,0.89314874,0.690660766,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,66666,1,0.279774,0.7017,0.848856,0.6793,0.301380845,0.866925253,0.693249825,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,4444,1,0.152844,0.7177,0.52078,0.6915,0.109491063,0.54351811,0.698602757,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,22,1,0.079159,0.7212,0.112904,0.7146,2.76E-05,0.009481456,0.68719815,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,888888,1,0.643954,0.6917,0.890968,0.673,0.705705196,0.892700966,0.693327002,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,5555,4,0.785466,0.4294,0.746402,0.4807,0.808088289,0.745047913,0.530633529,1,0,Transfer
ECO,LSTM,512,0.05,31,32,333,1,0.773938,0.4453,0.865029,0.4853,0.794918332,0.877857513,1.243998693,1,0,Transfer
ECO,LSTM,512,0.05,31,32,1111,1,0.787694,0.4267,0.856428,0.496,0.809141453,0.873064061,1.233700838,1,0,Transfer
ECO,LSTM,512,0.05,31,32,9999999,1,0.189002,0.7188,0.319437,0.7021,0.16281401,0.287144939,0.692425806,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,4444,3,0.78622,0.4322,0.795504,0.4411,0.808663568,0.813892779,0.516827139,1,0,Transfer
ECO,LSTM,512,0.05,31,32,66666,3,0.793219,0.4228,0.795265,0.4385,0.814077002,0.806840103,0.52401527,1,0,Transfer
ECO,LSTM,512,0.05,31,32,22,2,0.790236,0.4245,0.79105,0.4629,0.811545104,0.814993049,0.625385877,1,0,Transfer
ECO,LSTM,512,0.05,31,32,77777,1,0.831838,0.3865,0.862939,0.4866,0.843823239,0.876748434,1.246618445,1,0,Transfer
ECO,LSTM,512,0.05,31,32,888888,9,0.83134,0.3845,0.78543,0.4518,0.846047229,0.792990711,0.502552073,1,0,Transfer
ECO,LSTM,512,0.05,31,32,9999999,5,0.789596,0.4293,0.79362,0.4365,0.811306435,0.798464799,0.457775753,1,0,Transfer
ECO,LSTM,512,0.05,31,32,1111,0,0.787763,0.6851,0,10000000000,0.832264467,0,0,0,0,No Transfer
ECO,LSTM,512,0.05,31,32,1111,0,0.922081,0.284,0,10000000000,0.922189194,0,0,0,0,Transfer
ECO,LSTM,512,0.05,31,32,22,0,0.919362,0.6558,0,10000000000,0.919689119,0,0,0,0,No Transfer
ECO,LSTM,512,0.05,31,32,4444,0,0.077773,0.7378,0,10000000000,0,0,0,0,0,No Transfer
ECO,LSTM,512,0.05,31,32,66666,0,0.53556,0.6907,0,10000000000,0.534018869,0,0,0,0,No Transfer
ECO,LSTM,512,0.05,31,32,888888,0,0.922227,0.6537,0,10000000000,0.922266624,0,0,0,0,No Transfer
ECO,LSTM,512,0.05,31,32,333,0,0.45774,0.696,0,10000000000,0.522610813,0,0,0,0,No Transfer
ECO,LSTM,512,0.05,31,32,5555,0,0.079248,0.7393,0,10000000000,0.002713722,0,0,0,0,No Transfer
ECO,LSTM,512,0.05,31,32,77777,0,0.767639,0.6885,0,10000000000,0.817364324,0,0,0,0,No Transfer
ECO,LSTM,512,0.05,31,32,9999999,0,0.077773,0.7694,0,10000000000,0,0,0,0,0,No Transfer
ECO,Naive,512,0.05,10,32,1111,0,0.376273,10.0429,0,10000000000,0.396661569,0,0,0,0,Naive
ECO,Naive,512,0.05,10,32,1111,0,0.375633,10.0531,0,10000000000,0.398041299,0,0,1,0,Naive
ECO,Naive,512,0.05,10,32,1111,0,0.376049,10.0463,0,10000000000,0.395193099,0,0,2,0,Naive
ECO,RF,,,,,,,0.832180375,84.29291104,,,0.906993704,,,1,2,RF
ECO,RF,,,,,,,0.740012545,33.4708123,,,0.846279468,,,2,2,RF
ECO,RF,,,,,,,0.796008139,93.36050866,,,0.884135396,,,1,2,RF
ECO,RF,,,,,,,0.704896844,33.56616079,,,0.823669089,,,2,2,RF
ECO,RF,,,,,,,0.880710795,91.96132447,,,0.936438037,,,1,2,RF
ECO,RF,,,,,,,0.654024327,34.4833932,,,0.784587039,,,2,2,RF
ECO,RF,,,,,,,0.812623571,94.64244489,,,0.895364863,,,1,2,RF
ECO,RF,,,,,,,0.617510808,34.62433328,,,0.757750351,,,2,2,RF
ECO,RF,,,,,,,0.78279187,96.25902701,,,0.876527922,,,1,2,RF
ECO,RF,,,,,,,0.515933783,34.85792418,,,0.665393846,,,2,2,RF
ECO,RF,,,,,,,0.808892673,91.06145094,,,0.893225141,,,1,2,RF
ECO,RF,,,,,,,0.681189938,34.63786568,,,0.805059255,,,2,2,RF
ECO,RF,,,,,,,0.86278612,84.49232576,,,0.925613672,,,1,2,RF
ECO,RF,,,,,,,0.7192312,32.99063061,,,0.833815075,,,2,2,RF
ECO,RF,,,,,,,0.851007364,89.87003375,,,0.919098204,,,1,2,RF
ECO,RF,,,,,,,0.649311171,34.40170135,,,0.777710726,,,2,2,RF
ECO,RF,,,,,,,0.7630692,95.73635777,,,0.862736406,,,1,2,RF
ECO,RF,,,,,,,0.635227705,34.01666108,,,0.770574444,,,2,2,RF
ECO,RF,,,,,,,0.561107455,20.6512513,,,0.712516797,,,3,2,RF
ECO,RF,,,,,,,0.669086142,8.84069998,,,0.795797569,,,6,2,RF
ECO,RF,,,,,,,0.481105174,5.599732931,,,0.628009039,,,9,2,RF
ECO,RF,,,,,,,0.673027139,4.124061941,,,0.797378796,,,12,2,RF
ECO,RF,,,,,,,0.630872573,3.131931681,,,0.763413636,,,15,2,RF
ECO,RF,,,,,,,0.712095768,20.06358664,,,0.82907382,,,3,2,RF
ECO,RF,,,,,,,0.703120202,8.538728562,,,0.81826568,,,6,2,RF
ECO,RF,,,,,,,0.623186978,5.586520491,,,0.758001512,,,9,2,RF
ECO,RF,,,,,,,0.611782277,4.158775661,,,0.748587613,,,12,2,RF
ECO,RF,,,,,,,0.442400043,3.208234922,,,0.585851533,,,15,2,RF
ECO,RF,,,,,,,0.704472938,20.08840061,,,0.822999323,,,3,2,RF
ECO,RF,,,,,,,0.576387085,8.917088463,,,0.717256579,,,6,2,RF
ECO,RF,,,,,,,0.683520894,5.511769177,,,0.807275945,,,9,2,RF
ECO,RF,,,,,,,0.664354464,4.10706929,,,0.792584283,,,12,2,RF
ECO,RF,,,,,,,0.677855827,3.099900209,,,0.802450897,,,15,2,RF
ECO,RF,,,,,,,0.57038239,20.23574573,,,0.716331494,,,3,2,RF
ECO,RF,,,,,,,0.758648464,8.75206548,,,0.86125214,,,6,2,RF
ECO,RF,,,,,,,0.837252826,5.241510405,,,0.910582613,,,9,2,RF
ECO,RF,,,,,,,0.754407823,4.091078073,,,0.857100414,,,12,2,RF
ECO,RF,,,,,,,0.730888598,3.009548631,,,0.840731549,,,15,2,RF
ECO,RF,,,,,,,0.562482696,20.58709241,,,0.707410353,,,3,2,RF
ECO,RF,,,,,,,0.651555377,8.899919876,,,0.783416309,,,6,2,RF
ECO,RF,,,,,,,0.640786525,5.432113691,,,0.774237582,,,9,2,RF
ECO,RF,,,,,,,0.757558273,4.053017186,,,0.860013208,,,12,2,RF
