Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,,,,
ROBOD,ConvNet,512,0.001,10,64,0,14,0.882102,0.3278,0.923228,0.2465,0.754265733,0.908141898,0.256816491,,,
ROBOD,ConvNet,512,0.001,10,128,0,14,0.889027,0.2999,0.925075,0.2406,0.760453404,0.909514092,0.237557952,,,
ROBOD,ConvNet,512,0.0005,10,64,0,14,0.87571,0.3944,0.888795,0.2953,0.748195187,0.873873875,0.32839875,,,
ROBOD,ConvNet,512,0.0005,10,128,0,14,0.882102,0.3625,0.909114,0.2685,0.755030915,0.893595071,0.288621909,,,
ROBOD,GRU,256,0.001,10,64,0,29,0.823289,0.4226,0.872089,0.2998,0.73704003,0.857049038,0.350873407,,,
ROBOD,GRU,256,0.001,10,64,0,44,0.817522,0.4282,0.859934,0.2959,0.731448552,0.846656246,0.345760743,,,
ROBOD,GRU,256,0.001,10,128,0,29,0.751826,0.444,0.829017,0.3183,0.704845842,0.819491623,0.367060915,,,
ROBOD,GRU,256,0.001,10,128,0,44,0.821987,0.425,0.875996,0.2969,0.734922831,0.859124892,0.343027255,,,
ROBOD,GRU,512,0.001,10,64,0,29,0.828125,0.432,0.842614,0.345,0.709539522,0.840506141,0.378610606,,,
ROBOD,GRU,512,0.001,10,64,0,44,0.728984,0.4609,0.816462,0.345,0.681713359,0.814482789,0.377179553,,,
ROBOD,GRU,512,0.001,10,128,0,29,0.835938,0.4404,0.89088,0.3468,0.714116543,0.878373788,0.393567582,,,
ROBOD,GRU,256,0.05,10,64,0,8,0.887277,0.2812,0.925524,0.2118,0.777842098,0.908103285,0.201116496,,,
ROBOD,GRU,256,0.05,10,64,0,8,0.87872,0.3558,0.925178,0.2039,0.775510846,0.908389973,0.218717955,,,
ROBOD,GRU,256,0.05,10,128,0,8,0.882068,0.3518,0.924087,0.2036,0.778301985,0.906786874,0.227597109,,,
ROBOD,LSTM,256,0.05,10,32,0,10,0.754204,0.4231,0.878208,0.3319,0.379345219,0.852501549,0.223583232,,,
ROBOD,LSTM,256,0.01,10,32,0,7,0.775396,0.389,0.875374,0.3284,0.395716468,0.852246309,0.262092128,,,
ROBOD,LSTM,256,0.01,10,32,0,20,0.728504,0.4749,0.759873,0.5237,0.412739347,0.71554028,0.651927616,,,
ROBOD,LSTM,256,0.02,10,32,0,50,0.768673,0.3841,0.789324,0.49,0.407413132,0.725236524,0.556310662,,,
ROBOD,Naive,128,0.01,10,32,0,1,0.851181,2.3908,0.860524,2.246,0.576560964,0.636633582,3.705820125,,,
ROBOD,LSTM,256,0.02,10,32,0,50,0.768673,0.3841,0.789324,0.49,0.407413132,0.725236524,0.556310662,,,
ROBOD,LSTM,256,0.02,10,32,0,50,0.768673,0.3841,0.789324,0.49,0.407413132,0.725236524,0.556310662,,,
ROBOD,LSTM,256,0.05,10,32,0,10,0.754204,0.4231,0.878208,0.3319,0.379345219,0.852501549,0.223583232,,,
ROBOD,LSTM,256,0.05,10,32,0,25,0.759739,0.4213,0.83424,0.3815,0.421558207,0.793718875,0.344802889,,,
ROBOD,LSTM,256,0.05,10,32,0,50,0.691622,0.5661,0.849837,0.3571,0.415604294,0.810432533,0.240430406,,,
ROBOD,LSTM,256,0.05,10,32,0,25,0.645837,0.817,0.684221,0.6097,0.449468959,0.580741173,0.360539764,,,
ROBOD,LSTM,256,0.05,10,32,0,1,0.223451,0.7092,0.445409,0.6979,0.321593391,0.566359311,0.693282007,,,
ROBOD,LSTM,256,0.05,10,32,1111,6,0.891162,0.2607,0.91917,0.23465,0.831985,0.895984,0.224522,"Source training with Train Val Test splits, estimation of accuracy",,
ROBOD,LSTM,256,0.05,10,32,22,5,0.887415,0.2847,0.91222,0.2331,0.830255096,0.890010316,0.250590397,,,
ROBOD,LSTM,256,0.05,10,32,333,15,0.876811,0.3089,0.912453,0.2373,0.803040512,0.888589635,0.153795603,,,
ROBOD,LSTM,256,0.05,10,32,4444,5,0.888297,0.2901,0.904745,0.2364,0.832271564,0.887954428,0.255696183,,,
ROBOD,LSTM,256,0.05,10,32,5555,5,0.8891,0.3015,0.908041,0.2358,0.834450939,0.89086408,0.239417214,,,
ROBOD,LSTM,256,0.05,10,32,66666,7,0.87815,0.3003,0.912739,0.2326,0.817297974,0.8856756,0.225067883,,,
ROBOD,LSTM,256,0.05,10,32,77777,7,0.893822,0.2818,0.910818,0.2244,0.836011037,0.892172033,0.219224438,,,
ROBOD,LSTM,256,0.05,10,32,888888,8,0.878409,0.2943,0.897789,0.2327,0.823451568,0.878743642,0.209041989,,,
ROBOD,LSTM,256,0.05,10,32,999999999,8,0.875504,0.2819,0.914984,0.2427,0.81444308,0.892250646,0.201502642,,,
ROBOD,LSTM,256,0.05,10,32,1111,34,0.954975,0.117,0.951069,0.1329,0.929694609,0.881534437,0.121360871,None,2,
ROBOD,LSTM,256,0.05,10,32,22,34,0.959883,0.1128,0.968471,0.1131,0.931627927,0.901773806,0.110674426,None,2,
ROBOD,LSTM,256,0.05,10,32,333,35,0.95686,0.1151,0.952009,0.1354,0.930137676,0.888678355,0.117386698,None,2,
ROBOD,LSTM,256,0.05,10,32,4444,35,0.949191,0.1269,0.933666,0.1593,0.924226921,0.887068088,0.130950352,None,2,
ROBOD,LSTM,256,0.05,10,32,5555,33,0.953743,0.1222,0.961113,0.1307,0.927007948,0.894474286,0.122195898,None,2,
ROBOD,LSTM,256,0.05,10,32,66666,34,0.958555,0.1117,0.958602,0.1132,0.928907119,0.890115554,0.112459164,None,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.823345,0.4014,0.752516,0.6411,0.441341798,0.694421372,0.400090188,1,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.823212,0.4011,0.752516,0.6409,0.441123739,0.694421372,0.367315263,1,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.822936,0.4026,0.750953,0.6419,0.441414133,0.692988593,0.392769031,1,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.823201,0.4017,0.751735,0.6415,0.441405752,0.693701505,0.381133548,1,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.823069,0.4023,0.750953,0.6419,0.441365095,0.692988593,0.381879881,1,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.823201,0.402,0.750953,0.6416,0.441475824,0.692988593,0.410860447,1,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.823267,0.4015,0.752516,0.6412,0.441461635,0.694421372,0.394751294,1,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.823201,0.4017,0.751735,0.6414,0.441405752,0.693701505,0.380479532,1,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.823002,0.4024,0.750953,0.642,0.44131368,0.692988593,0.376114307,1,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.833128,0.3604,0.754873,0.5735,0.436159267,0.687669019,0.466956904,2,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.833128,0.3604,0.754873,0.5735,0.436159267,0.687669019,0.466956904,2,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.833128,0.3604,0.754873,0.5735,0.436159267,0.687669019,0.466956904,2,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.833128,0.3604,0.754873,0.5735,0.436159267,0.687669019,0.466956904,2,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.833128,0.3604,0.754873,0.5735,0.436159267,0.687669019,0.466956904,2,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.833128,0.3604,0.754873,0.5735,0.436159267,0.687669019,0.466956904,2,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.833128,0.3604,0.754873,0.5735,0.436159267,0.687669019,0.466956904,2,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.833128,0.3604,0.754873,0.5735,0.436159267,0.687669019,0.466956904,2,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.833128,0.3604,0.754873,0.5735,0.436159267,0.687669019,0.466956904,2,2,
ROBOD,LSTM,256,0.02,10,32,0,25,0.829906,0.3649,0.785371,0.4991,0.429497299,0.737190351,0.466956904,3,2,
